J.deletions	TRAJ10	TRAJ11	TRAJ12	TRAJ13	TRAJ14	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ20	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ26	TRAJ27	TRAJ28	TRAJ29	TRAJ3	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ36	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ46	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ54	TRAJ56	TRAJ57	TRAJ6	TRAJ7	TRAJ8	TRAJ9
10	0.0145975056689342	0.016828173008745	0.0101371858686415	0.0416631900987345	0.00571428571428571	0.0261747082939136	0.0683705434836657	0.0231736923416464	0.0128266033254157	0.0306097854904796	0.0130836818478303	0.0134936146287917	0.0558012422360248	5.37721137817928e-05	0.0382630813953488	0.0372361930945258	0.0272257230570367	0.013446495219592	0.023008373665207	0.0434959987447042	0.0868567320189144	0.0106212989942664	0.0217661900756939	0.0587961766985275	0.00819957262833573	0.0230746586354476	0.00719721550351012	0.0633856244340569	0.0132815847173568	0.0173511391920352	0.0799196393571149	0.0437745413749403	0.0577296391070326	0.0129773207844438	0.0318229198601999	0.0155642023346304	0.00502591487356683	0.0417551689834109	0.0225281365662059	0.0104254927242586	0.0179162072767365	0.0151725047826374	0.0357153202213017	0.0104344642421284	0.026835477877933	0.0242823224692424	0.0460071067888536	0.00863529981438141	0.0144834760342482	0.0144098944052272
11	0.00783021541950113	0.016828173008745	0.00831613451499332	0.0310666110415798	0.00571428571428571	0.0312554749640842	0.0961165531301278	0.0235415287280218	0.0100441126569393	0.0177479787024256	0.0118942562253002	0.0212042515595299	0.0365714285714286	5.37721137817928e-05	0.096765988372093	0.00776259400016172	0.0134512845370819	0.0182013395367861	0.0185526619036644	0.0464459438255139	0.0197992423194978	0.867609737757308	0.00716568544995795	0.0353913717385688	0.0109327635044476	0.0232105251239782	0.00996991327945254	0.0931939991679107	0.0549661029763855	0.00890292935094773	0.0483143865150921	0.117196102466084	0.0601341215918115	0.0125212488079937	0.0592617573119137	0.0116731517509728	0.00938432542798806	0.0848009033958003	0.0175428657753607	0.0113096334499908	0.0150679897096656	0.054225212744904	0.0919097413318657	0.0194044422748352	0.0106653822335375	0.0213324699618678	0.0104197280183815	0.0150108950044387	0.00896215091621989	0.0159850650487136
12	0.0196995464852608	0.015315528243914	0.0108049046983125	0.0156028368794326	0.00571428571428571	0.00991625494936753	0.00706081249067674	0.00798204958434488	0.00936545639633526	0.0181642893139639	0.00445075394237041	0.0128510615512302	0.0290186335403727	5.37721137817928e-05	0.00893895348837209	0.0103299102450069	0.010785264178381	0.015747226340815	0.00641468848428977	0.0065275380511533	0.0325470785056549	0.00897640755710123	0.0118082422203532	0.0114699044174632	0.00675843562093127	0.0227802812436313	0.0100879004188543	0.0133134284525587	0.00544368557675345	0.0151493394600804	0.0211191689533516	0.0240998898884341	0.0109414982793612	0.0092458227953066	0.0148690906861242	0.0127848804891606	0.0135856761426103	0.00852310918721265	0.0233401314298663	0.0191195431939584	0.0144248438074237	0.0125338082987004	0.0210873910146859	0.0109531364412985	0.00770659877520127	0.00874163608892726	0.00774800288546314	0.0164635622629328	0.0102424581899656	0.031940960270696
13	0.00549178004535147	0.0160718506263295	0.00764841568532233	0.0103184536225838	0.0171428571428571	0.0066575563264305	0.0120332156531252	0.0115132788935482	0.00468272819816763	0.0115252306141677	0.00456585964777654	0.0050333324408985	0.0659130434782609	5.37721137817928e-05	0.00723110465116279	0.0161720708336703	0.00702859912748425	0.0174855565212945	0.0260812783283399	0.0176369056959046	0.005115726018306	0.00540464329354263	0.00403700588730025	0.010126582278481	0.00730507379615365	0.0151717578859174	0.00489646628517492	0.0145126159418516	0.0088963935583054	0.0131629331801647	0.0234711877695022	0.00866349489954917	0.0204491308567899	0.00543140262863303	0.00892145441167454	0.00611450806003335	0.0115046332652741	0.012367918694378	0.00719465216406073	0.00729416098729048	0.015986769570011	0.0104008619741848	0.00854502795237957	0.0129668049792531	0.0056423312461295	0.00777034319015756	0.0113548318149029	0.00895811476071342	0.00468112346963271	0.00843007992532524
14	0.00496031746031746	0.0134719924367762	0.00485613694306179	0.0100403281880128	0.00571428571428571	0.0133851921931392	0.0112376311471334	0.0150077245641139	0.00902612826603325	0.0077565240255045	0.00349153973065265	0.0140023024818613	0.0393291925465839	5.37721137817928e-05	0.0143895348837209	0.00582194550012129	0.0120374858620132	0.00833375939465208	0.00741338249980794	0.00505256551074847	0.0125542681746537	0.0165429081680609	0.00982338099243061	0.0142857142857143	0.00750385131441634	0.0156699350105297	0.00607633767919297	0.0244732140672034	0.00685501146702286	0.00655753398430021	0.00705605644845159	0.0123615814513951	0.00721344745433689	0.00381442016667358	0.0188852780673248	0.00889382990550306	0.00290560703628082	0.0164547092194768	0.00271923861318831	0.00375759808436176	0.0101065784638001	0.0185808210743893	0.0171190221012079	0.00533927263851599	0.0053670955755866	0.00813008130081301	0.0156830265302306	0.0105721894923735	0.00560134432263743	0.00770083425704451
15	0.00981434240362812	0.0115811864807374	0.00370280441908462	0.0102628285356696	0.44	0.00826938575282946	0.00303316592909353	0.00408298388876628	0.00882253138785205	0.0101667433554635	0.00245558838199747	0.00979893443281304	0.0170683229813665	5.37721137817928e-05	0.00381540697674419	0.00376000646882833	0.00517046372596542	0.00843601411115088	0.00414842129522932	0.008849835242429	0.00340126648784669	0.00728451922173137	0.00380151387720774	0.005321622319814	0.00909407146051782	0.0103937863725912	0.00530942127308123	0.00743985707642985	0.00733385417979284	0.00246505839555811	0.00921207369658957	0.0129433029314607	0.012243007147269	0.00613624113769228	0.00741921638359188	0.00611450806003335	0.00255222239673316	0.0177452746484554	0.00526852481305235	0.00895192484803831	0.00431826534362367	0.0119401015898146	0.00926918286359818	0.00375274591164267	0.0061928025872153	0.00838189797827182	0.00673274733495418	0.0117827455411186	0.00268064335440506	0.00385041712852226
16	0.00414540816326531	0.00718506263294729	0.00261017360689571	0.00923376442775692	0.04	0.00518588598058797	0.00900004972403162	0.00592216582064298	0.00502205632846963	0.0121168299042486	0.00356827686759007	0.00733581430216059	0.0165465838509317	5.37721137817928e-05	0.00712209302325581	0.00202150885420878	0.00541282921312005	0.00409018865995194	0.00737497119151878	0.00750039227993096	0.00597295578353566	0.00601560297020397	0.0115391084945332	0.00733660552828726	0.00129205386870745	0.0168248001630398	0.00247772992743791	0.00844325885318519	0.00761107890823861	0.00588742102240092	0.00813406507252058	0.00635738474643176	0.016478425836054	0.00480948629711016	0.00481329327365258	0.00277932184546971	0.00325899167582849	0.0134433898851934	0.00332351386056349	0.00327868852459016	0.00735023888276369	0.00741033929238956	0.00585117168264635	0.00662069807175982	0.010527764398266	0.00334556442909562	0.0043014774639985	0.00524574287789525	0.0070816996079059	0.00810921183128172
17	0.00290532879818594	0.0059560387615221	0.00297438387762535	0.00634125990821861	0.00571428571428571	0.00613195977434388	0.00392819849833425	0.0036783638637534	0.00427553444180523	0.00571879313744823	0.00172658558109197	0.0124494658777543	0.0370186335403727	5.37721137817928e-05	0.00352470930232558	0.00179914288024582	0.00399903053805138	0.00991870750038346	0.00560805101021741	0.00348344578691354	0.00141028122666814	0.00521665570072375	0.00551724137931034	0.0081890984241798	0.00313074591263728	0.00466474943955073	0.00200578136983069	0.00469885710090306	0.00574611255323975	0.00560022975301551	0.00906507252058016	0.00575488749922091	0.00542663019500574	0.00534848045109665	0.00944263903366239	0.00333518621456365	0.313373645358882	0.0245207431505929	0.00570284764710326	0.00736783938110149	0.00156192576258728	0.0106427424852123	0.00614083364713379	0.00332560410056139	0.00633042042248675	0.0107561695085977	0.00518314675786155	0.00685981760955532	0.00352084500280067	0.00440464383641561
18	0.00542091836734694	0.00605057905932404	0.00127473594755372	0.00186344041162564	0.00571428571428571	0.0053260450611444	0.00477350703595047	0.00283234017509012	0.00495419070240923	0.00381252875829882	0.00391359398380846	0.0183930818451983	0.00591304347826087	5.37721137817928e-05	0.0029796511627907	0.00297161801568691	0.00755372434965261	0.00332327828621095	0.00211262195590382	0.00583712537266593	0.00677488040262146	0.00808346649121158	0.00746846089150547	0.00601911650736244	0.00417432788351637	0.00545730395597926	0.00247772992743791	0.00416044639142459	0.00466241588749716	0.00236932797242964	0.00509604076832615	0.00276317703031184	0.00730168534368658	0.00862390646378374	0.00723526886994911	0.00389105058365759	0.0027878121564316	0.00333396069152798	0.00481531837752096	0.00449438202247191	0.00606394707828004	0.00831189392440135	0.00527184775367147	0.00353917500610203	0.00454138856395789	0.00338153824016116	0.00641214031900398	0.00193688967799209	0.00440105625350084	0.00169184995041129
19	0.00566893424036281	0.00222169699834554	0.0017603496418599	0.0067028229731609	0.00571428571428571	0.00360909632432811	0.00621550395306051	0.00823953505480762	0.0112656939260265	0.0079756348736826	0.0103978820550205	0.00401595673475944	0.00340372670807453	5.37721137817928e-05	0.00148982558139535	0.0021630144740034	0.00282759735013734	0.00168720282223018	0.00188215410616886	0.0066844500235368	0.0021569006996101	0.00352476736535389	0.00514718250630782	0.00366830276414363	0.00129205386870745	0.00396277258214261	0.00342162704265235	0.00927534813147011	0.00388114619824088	0.00296764311698258	0.0143081144649157	0.00812332495377392	0.000507367863760699	0.0027778929474688	0.00511987246305721	0.00667037242912729	0.00632165855190828	0.0124485790336891	0.00124631769771131	0.00361024129673973	0.00275633958103638	0.00758625239131869	0.00373663934188802	0.00530876250915304	0.00461019748159361	0.00615152169220807	0.00280531138956424	0.00540715035106125	0.00280067216131872	0.00230441631176711
