VJgenes	TRAJ10	TRAJ11	TRAJ12	TRAJ13	TRAJ14	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ20	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ26	TRAJ27	TRAJ28	TRAJ29	TRAJ3	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ36	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ46	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ54	TRAJ56	TRAJ57	TRAJ6	TRAJ7	TRAJ8	TRAJ9
TRAV24	0.000127095307358818	4.23651024529394e-05	5.64868032705859e-05	0.000176521260220581	7.06085040882324e-06	7.76693544970556e-05	0.000162399559402934	0.000169460409811758	8.47302049058789e-05	0.00024006891389999	8.47302049058789e-05	0.00028243401635293	0.000303616567579399	6.35476536794092e-05	9.17910553147021e-05	0.000289494866761753	0.000155338708994111	7.06085040882324e-05	0.000211825512264697	0.00028243401635293	9.17910553147021e-05	0.000134156157767642	7.76693544970556e-05	0.00021888636267352	0.000141217008176465	0.000324799118805869	0.000345981670032339	0.000338920819623515	0.000105912756132349	0.000155338708994111	8.47302049058789e-05	0.000360103370849985	0.00024006891389999	0.000148277858585288	0.000296555717170576	1.41217008176465e-05	7.76693544970556e-05	0.000233008063491167	0.000367164221258808	0.000183582110629404	1.41217008176465e-05	0.000204764661855874	0.000169460409811758	4.23651024529394e-05	4.23651024529394e-05	4.23651024529394e-05	4.94259528617627e-05	6.35476536794092e-05	4.94259528617627e-05	7.76693544970556e-05
TRAV25	0.000183582110629404	7.76693544970556e-05	9.88519057235253e-05	0.000190642961038227	0	0.00024006891389999	0.000183582110629404	0.000296555717170576	0.000247129764308813	0.000338920819623515	0.000310677417988223	0.000353042520441162	0.000345981670032339	0.000204764661855874	0.00021888636267352	0.000388346772485278	0.000225947213082344	9.88519057235253e-05	0.00028243401635293	0.000197703811447051	0.000388346772485278	0.000155338708994111	0.000204764661855874	0.000317738268397046	0.000211825512264697	0.000699024190473501	0.000353042520441162	0.000360103370849985	0.000360103370849985	0.000451894426164687	0.000162399559402934	0.000557807182297036	0.000395407622894101	0.00021888636267352	0.000367164221258808	2.11825512264697e-05	0.00021888636267352	0.000345981670032339	0.00050132037902645	8.47302049058789e-05	4.94259528617627e-05	0.000310677417988223	0.000367164221258808	0.000134156157767642	0.000112973606541172	0.00021888636267352	0.000148277858585288	6.35476536794092e-05	0.000120034456949995	8.47302049058789e-05
TRAV26-1	0.000324799118805869	0.000338920819623515	0.000268312315535283	0.000593111434341152	0	0.000473076977391157	0.00072020674169997	0.000868484600285258	0.000289494866761753	0.00105912756132349	0.000649598237611738	0.00123564882154407	0.00140510923135582	0.000296555717170576	0.000713145891291147	0.00122152712072642	0.000437772725347041	0.000593111434341152	0.000586050583932329	0.000924971403555844	0.000727267592108794	0.000614293985567622	0.000840241198649965	0.00103794501009702	0.000946153954782314	0.00206882916978521	0.000875545450694082	0.00177933430302346	0.000487198678208803	0.00134862242808524	0.000727267592108794	0.00162399559402934	0.00138392668012935	0.000868484600285258	0.00108031011254996	3.53042520441162e-05	0.00048013782779998	0.00133450072726759	0.00213237682346462	0.00050132037902645	0.000353042520441162	0.00117210116786466	0.0013062573256323	0.000642537387202915	0.000430711874938218	0.000628415686385268	0.000296555717170576	0.000162399559402934	0.000289494866761753	0.000466016126982334
TRAV26-2	0.000324799118805869	0.000204764661855874	0.000211825512264697	0.000494259528617627	7.06085040882324e-06	0.000388346772485278	0.00052250293025292	0.000910849702738198	0.000564868032705859	0.00120740541990877	0.000932032253964668	0.00284552271475577	0.00126389222317936	0.000423651024529394	0.000861423749876435	0.00202646406733227	0.000974397356417607	0.000974397356417607	0.000593111434341152	0.00137686582972053	0.000804936946605849	0.000840241198649965	0.000910849702738198	0.00117210116786466	0.0012144662703176	0.00322680863683222	0.000868484600285258	0.00293731377007047	0.000225947213082344	0.00233714148532049	0.000924971403555844	0.00327623458969398	0.00281021846271165	0.00164517814525581	0.00258427124962931	0.000134156157767642	0.00122858797113524	0.00216768107550873	0.00300086142374988	0.000303616567579399	0.000529563780661743	0.00222416787877932	0.00303616567579399	0.00158163049157641	0.000882606301102905	0.00158163049157641	0.000176521260220581	0.000317738268397046	0.000204764661855874	0.000345981670032339
TRAV27	0.000176521260220581	0.000120034456949995	9.88519057235253e-05	0.000268312315535283	7.06085040882324e-06	0.000225947213082344	0.000254190614717637	0.000254190614717637	0.000141217008176465	0.000586050583932329	0.000338920819623515	0.000564868032705859	0.000600172284749975	0.000190642961038227	0.00028243401635293	0.000755510993744087	0.00024006891389999	0.000360103370849985	0.000331859969214692	0.000423651024529394	0.00026125146512646	0.00028243401635293	0.00026125146512646	0.000437772725347041	0.000416590174120571	0.000995579907644077	0.000529563780661743	0.00072020674169997	0.000233008063491167	0.000642537387202915	0.000345981670032339	0.00078375439537938	0.000988519057235253	0.000367164221258808	0.00074138929292644	2.8243401635293e-05	0.000289494866761753	0.000755510993744087	0.000875545450694082	0.000197703811447051	0.000162399559402934	0.000473076977391157	0.000677841639247031	0.00024006891389999	0.000225947213082344	0.000423651024529394	0.000204764661855874	0.000127095307358818	0.000155338708994111	0.000134156157767642
TRAV29/DV5	0.00024006891389999	7.06085040882324e-05	7.06085040882324e-05	0.000395407622894101	0	0.000225947213082344	0.000275373165944106	0.000317738268397046	0.00024006891389999	0.000374225071667632	0.000388346772485278	0.000819058647423496	0.000642537387202915	0.000233008063491167	0.000331859969214692	0.000790815245788203	0.000338920819623515	0.000247129764308813	0.000296555717170576	0.000550746331888213	0.000409529323711748	0.000360103370849985	0.00026125146512646	0.000670780788838208	0.000395407622894101	0.00161693474362052	0.000600172284749975	0.00105912756132349	0.000190642961038227	0.00105912756132349	0.000402468473302925	0.00154632623953229	0.00156750879075876	0.000593111434341152	0.00119328371909113	4.94259528617627e-05	0.000353042520441162	0.00126389222317936	0.00143335263299112	0.000148277858585288	0.000197703811447051	0.000924971403555844	0.000889667151511728	0.000395407622894101	0.000275373165944106	0.000706085040882324	0.000169460409811758	0.000127095307358818	0.000127095307358818	9.17910553147021e-05
TRAV3	0.000296555717170576	0.000169460409811758	8.47302049058789e-05	0.000190642961038227	0	0.000225947213082344	0.000233008063491167	0.00028243401635293	0.000120034456949995	0.000289494866761753	0.00021888636267352	0.000310677417988223	0.00021888636267352	9.88519057235253e-05	0.000148277858585288	0.000211825512264697	0.000176521260220581	0.000120034456949995	0.000360103370849985	0.00024006891389999	0.000169460409811758	0.000225947213082344	0.000141217008176465	0.000268312315535283	0.000141217008176465	0.000494259528617627	0.00024006891389999	0.000466016126982334	0.000628415686385268	0.000211825512264697	8.47302049058789e-05	0.000233008063491167	0.00024006891389999	0.000169460409811758	0.000105912756132349	4.23651024529394e-05	2.11825512264697e-05	5.64868032705859e-05	4.94259528617627e-05	0.000353042520441162	0	1.41217008176465e-05	2.8243401635293e-05	0	7.06085040882324e-06	0	0.000367164221258808	0.000162399559402934	0.000268312315535283	0.000211825512264697
TRAV30	5.64868032705859e-05	2.11825512264697e-05	1.41217008176465e-05	5.64868032705859e-05	0	0.000105912756132349	4.23651024529394e-05	0.000134156157767642	2.11825512264697e-05	0.000127095307358818	0.000112973606541172	8.47302049058789e-05	0.000120034456949995	2.8243401635293e-05	5.64868032705859e-05	0.000162399559402934	7.06085040882324e-05	6.35476536794092e-05	0.000127095307358818	0.000148277858585288	5.64868032705859e-05	8.47302049058789e-05	0.000105912756132349	0.000162399559402934	5.64868032705859e-05	0.000296555717170576	8.47302049058789e-05	0.000190642961038227	7.76693544970556e-05	0.000176521260220581	8.47302049058789e-05	0.000211825512264697	0.000204764661855874	7.76693544970556e-05	0.000176521260220581	7.06085040882324e-06	9.17910553147021e-05	0.000190642961038227	0.000254190614717637	3.53042520441162e-05	4.23651024529394e-05	0.000176521260220581	0.000176521260220581	7.76693544970556e-05	6.35476536794092e-05	9.88519057235253e-05	6.35476536794092e-05	3.53042520441162e-05	3.53042520441162e-05	3.53042520441162e-05
TRAV34	0.000162399559402934	7.06085040882324e-05	2.11825512264697e-05	0.000148277858585288	0	0.000120034456949995	9.17910553147021e-05	0.000134156157767642	5.64868032705859e-05	0.000162399559402934	0.000197703811447051	0.000360103370849985	0.000141217008176465	0.000134156157767642	5.64868032705859e-05	0.000402468473302925	0.000120034456949995	0.000112973606541172	0.000176521260220581	0.000162399559402934	0.000127095307358818	7.06085040882324e-05	0.000127095307358818	0.000162399559402934	0.000155338708994111	0.000437772725347041	0.000176521260220581	0.000402468473302925	0.000127095307358818	0.000289494866761753	0.000120034456949995	0.000451894426164687	0.000303616567579399	0.000190642961038227	0.000289494866761753	7.06085040882324e-06	0.000162399559402934	0.000247129764308813	0.000345981670032339	0.000141217008176465	8.47302049058789e-05	0.000345981670032339	0.000331859969214692	0.000148277858585288	0.000120034456949995	0.000204764661855874	0.000134156157767642	7.06085040882324e-05	4.23651024529394e-05	5.64868032705859e-05
TRAV35	0.000120034456949995	3.53042520441162e-05	4.94259528617627e-05	0.000233008063491167	0	0.000211825512264697	0.000148277858585288	0.000374225071667632	0.000155338708994111	0.000317738268397046	0.000338920819623515	0.000600172284749975	0.00048013782779998	0.000169460409811758	0.000303616567579399	0.000995579907644077	0.000331859969214692	0.000444833575755864	0.000183582110629404	0.000550746331888213	0.000381285922076455	0.000345981670032339	0.000268312315535283	0.000317738268397046	0.000338920819623515	0.00113679691582054	0.000550746331888213	0.00110855351418525	4.94259528617627e-05	0.00131331817604112	0.000444833575755864	0.00199822066569698	0.00113679691582054	0.000529563780661743	0.00114385776622936	2.11825512264697e-05	0.000451894426164687	0.000734328442517617	0.00131331817604112	7.76693544970556e-05	0.00028243401635293	0.00115091861663819	0.00129213562481465	0.000635476536794091	0.000423651024529394	0.000840241198649965	7.76693544970556e-05	0.000120034456949995	2.8243401635293e-05	7.06085040882324e-05
